序号,颜色中文名,颜色英文名,R,G,B,自然界来源实例（中文）,自然界来源实例（英文）
1,冰河蓝,Glacier Blue,200,230,250,冰川融水,Glacial meltwater
2,浅天蓝,Light Sky Blue,135,206,250,晴朗午后的天空,Clear afternoon sky
3,湖水蓝,Lake Water Blue,120,190,230,高山湖泊,Alpine lake water
4,海沫蓝,Sea Foam Blue,150,210,230,海浪泡沫,Sea foam
5,宝石蓝,Gemstone Blue,80,150,220,蓝宝石光泽,Sapphire gemstone luster
6,知更鸟蛋蓝,Robin's Egg Blue,100,180,220,知更鸟蛋壳,Robin's eggshell
7,鸭蛋蓝,Duck Egg Blue,130,190,220,鸭蛋颜色,Duck egg
8,青瓷蓝,Celadon Blue,100,170,200,青瓷器釉色,Celadon porcelain glaze
9,钴蓝,Cobalt Blue,0,100,200,钴玻璃,Cobalt glass
10,矢车菊蓝,Cornflower Blue,80,130,220,矢车菊花瓣,Cornflower petals
11,海军蓝,Navy Blue,0,0,150,深海颜色,Deep ocean color
12,午夜蓝,Midnight Blue,10,10,100,午夜天空,Midnight sky
13,藏蓝,Tibetan Blue,30,50,120,藏族传统服饰,Tibetan traditional clothing
14,靛蓝,Indigo Blue,40,0,120,靛蓝染料,Indigo dye
15,深海军蓝,Deep Navy Blue,0,0,100,远洋深海,Open ocean deep water
16,岩蓝,Stone Blue,50,70,130,蓝砂岩,Blue sandstone
17,墨蓝,Ink Blue,30,50,100,蓝黑墨水,Blue-black ink
18,乌云蓝,Storm Cloud Blue,60,80,140,暴风雨乌云,Storm clouds
19,深海蓝,Deep Sea Blue,0,30,80,深海沟壑,Deep sea trench
20,宇宙蓝,Cosmic Blue,10,20,70,宇宙深空,Cosmic space
21,鸦蓝,Raven Blue,50,60,100,乌鸦羽毛蓝光,Blue sheen on raven feathers
22,钢蓝,Steel Blue,60,80,120,钢材表面,Steel surface
23,铅蓝,Lead Blue,70,90,130,铅金属,Lead metal
24,灰蓝,Gray Blue,80,100,140,阴天天空,Overcast sky
25,烟雾蓝,Smoke Blue,90,110,150,远处山雾,Distant mountain smoke
26,雾蓝,Mist Blue,100,120,160,清晨雾气,Morning mist
27,水泥蓝,Cement Blue,110,130,170,湿水泥,Wet cement
28,石板蓝,Slate Blue,80,100,130,板岩颜色,Slate rock
29,炭灰蓝,Charcoal Gray Blue,70,80,100,木炭灰,Charcoal ash
30,火山灰蓝,Volcanic Ash Blue,80,90,110,火山灰,Volcanic ash
31,烟灰蓝,Smoke Gray Blue,90,100,120,香烟烟雾,Cigarette smoke
32,鼠灰,Mouse Gray,100,110,130,老鼠毛色,Mouse fur
33,象灰,Elephant Gray,110,120,140,大象皮肤,Elephant skin
34,水泥灰,Cement Gray,120,130,150,干水泥,Dry cement
35,岩石灰,Rock Gray,100,100,120,花岗岩,Granite rock
36,鹅卵石灰,Pebble Gray,110,110,130,河床鹅卵石,River pebbles
37,砂石灰,Sandstone Gray,120,120,140,砂岩颜色,Sandstone
38,阴天灰,Overcast Gray,130,130,150,阴云天空,Overcast sky
39,暴雨灰,Rainstorm Gray,100,100,110,暴雨前天空,Pre-storm sky
40,铁灰,Iron Gray,80,80,90,生铁颜色,Raw iron
41,钨钢灰,Tungsten Gray,90,90,100,钨钢材质,Tungsten steel
42,枪灰,Gunmetal Gray,100,100,110,枪械金属,Firearm metal
43,玄武岩灰,Basalt Gray,70,70,80,玄武岩,Basalt rock
44,熔岩灰,Lava Gray,80,80,90,冷却熔岩,Cooled lava
45,阴影灰,Shadow Gray,60,60,70,深色阴影,Deep shadow
46,暮色灰,Twilight Gray,50,50,60,黄昏时分,Dusk time
47,深夜灰,Late Night Gray,40,40,50,深夜天空,Late night sky
48,鸦黑,Raven Black,30,30,40,乌鸦羽毛,Raven feathers
49,炭黑,Charcoal Black,40,40,50,木炭颜色,Charcoal
50,墨黑,Ink Black,20,20,30,墨汁颜色,Chinese ink
51,黑曜石黑,Obsidian Black,10,10,20,黑曜石,Obsidian
52,深渊黑,Abyssal Black,5,5,15,海洋深渊,Ocean abyss
53,黑洞黑,Black Hole Black,0,0,5,宇宙黑洞,Cosmic black hole
54,天鹅绒黑,Velvet Black,5,5,10,黑色天鹅绒,Black velvet
55,漆黑,Lacquer Black,10,10,15,黑漆表面,Black lacquer
56,瞳孔黑,Pupil Black,0,0,0,动物瞳孔,Animal pupil
57,乌木黑,Ebony Black,20,20,25,乌木心材,Ebony heartwood
58,煤炭黑,Coal Black,15,15,20,无烟煤,Anthracite coal
59,太空黑,Space Black,5,5,8,外太空,Outer space
60,虚无黑,Void Black,0,0,0,绝对黑暗,Absolute darkness
