序号,颜色中文名,颜色英文名,R,G,B,自然界来源实例（中文）,自然界来源实例（英文）
1,天青,Sky Blue,135,206,235,晴朗天空,Clear sky
2,湖蓝,Lake Blue,100,180,220,高山湖泊,Alpine lake
3,宝石蓝,Sapphire Blue,10,100,200,蓝宝石,Sapphire gemstone
4,孔雀蓝,Peacock Blue,0,150,200,孔雀颈部羽毛,Peacock neck feathers
5,靛蓝,Indigo,75,0,130,蓼蓝植物,Indigo plant
6,海军蓝,Navy Blue,0,0,128,深海颜色,Deep ocean
7,午夜蓝,Midnight Blue,25,25,112,午夜天空,Midnight sky
8,钻蓝,Cerulean,0,120,200,晴朗天空的蓝色,Blue of clear sky
9,矢车菊蓝,Cornflower Blue,100,149,237,矢车菊花瓣,Cornflower petals
10,冰蓝,Ice Blue,200,230,255,冰川冰层,Glacial ice
11,青金石,Lapis Lazuli,38,97,156,青金石矿物,Lapis lazuli mineral
12,蓝晶石,Kyanite,100,150,200,蓝晶石矿物,Kyanite crystal
13,勿忘我蓝,Forget-me-not,100,170,230,勿忘我小花,Forget-me-not flowers
14,鸭蛋蓝,Duck Egg,150,200,220,鸭蛋壳,Duck eggshell
15,知更鸟蛋蓝,Robin's Egg,100,200,220,知更鸟蛋,Robin's egg
16,青瓷蓝,Celadon Blue,150,200,200,青瓷器釉色,Celadon porcelain
17,薄荷蓝,Mint Blue,180,220,220,薄荷叶片,Mint leaves
18,海沫蓝,Sea Foam,150,220,220,海浪泡沫,Sea foam
19,碧蓝,Turquoise,50,200,200,绿松石宝石,Turquoise gemstone
20,翡翠绿,Jadeite Green,0,180,120,翡翠玉石,Jadeite
21,祖母绿,Emerald,0,200,100,祖母绿宝石,Emerald gemstone
22,孔雀绿,Peacock Green,0,150,150,孔雀尾羽,Peacock tail feathers
23,翠绿,Verdant Green,0,180,80,新生树叶,Newly sprouted leaves
24,春绿,Spring Green,0,255,150,春日新芽,Spring buds
25,苹果绿,Apple Green,150,220,100,青苹果表皮,Green apple skin
26,嫩绿,Tender Green,150,230,150,嫩叶颜色,Young leaves
27,草绿,Grass Green,100,200,100,草坪颜色,Lawn grass
28,苔绿,Moss Green,100,150,100,苔藓植物,Moss
29,橄榄绿,Olive Green,130,150,100,橄榄果实,Olives
30,柳绿,Willow Green,150,200,150,柳树叶片,Willow leaves
31,竹绿,Bamboo Green,100,180,100,竹竿颜色,Bamboo stalks
32,松绿,Pine Green,0,120,80,松针颜色,Pine needles
33,柏绿,Cypress Green,50,120,80,柏树叶片,Cypress leaves
34,杉绿,Fir Green,0,100,60,杉树颜色,Fir tree
35,森林绿,Forest Green,0,100,50,森林树冠,Forest canopy
36,深林绿,Deep Forest,0,80,40,原始森林,Primeval forest
37,翡翠龙绿,Jade Dragon,0,150,100,翡翠色泽,Jade color
38,玉绿,Jade Green,0,180,100,和田玉颜色,Hetan jade
39,碧玉绿,Jasper Green,50,150,100,碧玉矿物,Jasper stone
40,绿松石绿,Turquoise Green,0,200,150,绿松石颜色,Turquoise color
41,海绿,Sea Green,50,200,150,浅海颜色,Shallow sea
42,水绿,Water Green,100,220,180,清澈湖水,Clear lake water
43,荷叶绿,Lotus Leaf,0,150,120,荷叶表面,Lotus leaf surface
44,芦苇绿,Reed Green,100,180,150,芦苇杆,Reed stalks
45,竹叶绿,Bamboo Leaf,100,200,150,竹叶颜色,Bamboo leaves
46,茶叶绿,Tea Green,100,150,100,茶叶颜色,Tea leaves
47,橄榄石绿,Peridot,150,200,100,橄榄石宝石,Peridot gemstone
48,青柠绿,Lime Green,150,220,100,青柠表皮,Lime peel
49,豆绿,Pea Green,150,200,150,豌豆颜色,Green peas
50,瓜绿,Melon Green,150,220,150,甜瓜表皮,Melon rind
51,蛙绿,Frog Green,100,200,100,树蛙皮肤,Tree frog skin
52,螳螂绿,Mantis Green,100,180,100,螳螂身体,Praying mantis
53,鹦鹉绿,Parrot Green,0,200,100,鹦鹉羽毛,Parrot feathers
54,孔雀石绿,Malachite,0,180,120,孔雀石矿物,Malachite mineral
55,铜绿,Verdigris,80,180,150,铜锈颜色,Copper patina
56,苔藓绿,Moss,100,150,100,岩石苔藓,Rock moss
57,地衣绿,Lichen,150,180,150,地衣植物,Lichen
58,蕨绿,Fern Green,80,150,100,蕨类植物,Fern
59,藤绿,Vine Green,100,150,100,藤蔓植物,Vine
60,森林苔绿,Forest Moss,80,120,80,森林地面苔藓,Forest floor moss
